,Año,Trabajo,Premio,Categoría,Resultado
0,1995,An Experienced Woman Gives Advice,Premio de Teatro Manchester Evening News,Mejor Actor,Nominado
0,1996,The Glass Menagerie,Theatre Management Association,Mejor Actor,Nominado
0,2000,The Comedy of Errors,Premio Ian Charleson,Best Classical Actor Under 30,Nominado
0,2003,Lobby Hero,Premio Olivier,Mejor Actor,Nominado
0,2005,Look Back in Anger,Critics' Awards for Theatre in Scotland,Best Male Performance,Ganador
0,2006,"Casanova, Secret Smile, y Doctor Who",Broadcasting Press Guild,Best Actor,Nominado
0,2006,Doctor Who,TV Quick and TV Choice Award,Best Actor,Ganador
0,2006,Doctor Who,National Television Award,Best Actor,Ganador
0,2007,Doctor Who,BAFTA Cymru,Best Actor,Ganador
0,2007,Doctor Who,TV Quick and TV Choice Award,Best Actor,Ganador
0,2007,Doctor Who,Premios Constellation,Best Male Performance in a 2006 Science Fiction Television Episode,Ganador
0,2007,Doctor Who,National Television Award,Most Popular Actor,Ganador
0,2007,-,Glenfiddich Spirit of Scotland Award,Screen Award,Ganador
0,2008,Doctor Who,Premios Constellation,Best Male Performance in a 2007 Science Fiction Television Episode,Ganador
0,2008,Doctor Who,Premio TV Quick and TV Choice,Best Actor,Ganador
0,2008,Doctor Who,National Television Award,Outstanding Drama Performance,Ganador
0,2008,Doctor Who,Premios Satellite,Best Actor in a Drama Series,Nominado
0,2008,Recovery y Doctor Who,Royal Television Society Programme Award,Best Actor,Nominado
0,2009,Hamlet,Critics' Circle Theatre Award,Mejor representación de Shakespeare,Ganador
0,2009,Hamlet,Theatregoers' Choice Awards,AKA Theatre Event of the Year,Ganador
0,2009,Hamlet,Premio Standard Theatre,Best Actor,Nominado
0,2009,Einstein and Eddington y Doctor Who,Broadcasting Press Guild,Best Actor,Nominado
0,2009,Doctor Who,BAFTA Scotland,Acting Performance in TV (Male),Nominado
0,2009,Doctor Who,Premio Saturn,Best Actor on Television,Nominado
0,2010,Doctor Who,Premio Nacional de Televisión,Outstanding Drama Performance,Ganador
0,2010,Doctor Who,Premio Constellation,Best Male Performance in a 2009 Science Fiction Television Episode,Ganador
0,2010,Hamlet y Doctor Who,Broadcasting Press Guild,Best Actor,Nominado
0,2011,Single Father,Premio TV Choice,Best Actor,Ganador
0,2011,Single Father,Royal Television Society Programme Awards,Best Actor,Nominado
0,2011,Much Ado About Nothing,BroadwayWorld UK Awards,Best Actor,Ganador
0,2012,Kafka: The Musical,BBC Audio Drama Awards,Best Actor,Ganador
0,2012,Much Ado About Nothing,What's on Stage Awards,Best Actor,Nominado
0,2012,Star Wars: The Clone Wars,,Outstanding Performer in an Animated Program,Ganador
0,2013,Broadchurch,Premio TV Choice,Best Actor,Ganador
0,2014,Broadchurch,Premio Nacional de Televisión,Best TV Detective,Nominado
0,2014,Broadchurch,Broadcasting Press Guild Television and Radio Awards,Best Actor,Nominado
0,2014,The Escape Artist (serie de televisión),BAFTA Scotland,Acting Performance in TV (Male),Ganador
0,2015,Gracepoint,,Favorite Actor In A New TV Series,Ganador
0,2015,-,National Television Awards,Special Recognition Award,Ganador
